sample_id	run_id	assay_type	run_classification	summary_axis	interpretation_label	count
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	source_interpretation_label	coding_common_or_low_support	24855
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	source_interpretation_label	coding_uninterpretable	432
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	source_interpretation_label	lof_or_missense_rare	1148
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	source_interpretation_label	lof_rare_clinically_supported	4
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	source_interpretation_label	noncoding_common_or_low_support	556082
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	source_interpretation_label	noncoding_uninterpretable	127903
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	source_interpretation_label	regulatory_or_transcript_rare	26044
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	variant_origin	coding	26439
ERR10619300	run_2026_05_27_172531	WES	saudi_epilepsy_patient_74_of_144_median_depth	variant_origin	noncoding	710029
