sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
ERR10619225	run_2026_05_31_091242	stage_01_load_data	0	success	2026-05-31T09:12:42+00:00	2026-05-31T09:12:42+00:00
ERR10619225	run_2026_05_31_091242	stage_02_align_data	5571	success	2026-05-31T09:12:42+00:00	2026-05-31T10:45:33+00:00
ERR10619225	run_2026_05_31_091242	stage_03_process_bam	261	success	2026-05-31T10:45:33+00:00	2026-05-31T10:49:54+00:00
ERR10619225	run_2026_05_31_091242	stage_04_qc_aligned_reads	44	success	2026-05-31T10:49:54+00:00	2026-05-31T10:50:38+00:00
ERR10619225	run_2026_05_31_091242	stage_05_call_variants	9926	success	2026-05-31T10:50:38+00:00	2026-05-31T13:36:04+00:00
ERR10619225	run_2026_05_31_091242	stage_06_normalize_vcf	18	success	2026-05-31T13:36:05+00:00	2026-05-31T13:36:23+00:00
ERR10619225	run_2026_05_31_091242	stage_07_annotate_variants	1171	success	2026-05-31T13:36:23+00:00	2026-05-31T13:55:54+00:00
ERR10619225	run_2026_05_31_091242	stage_08_filter_and_partition	94	success	2026-05-31T13:55:57+00:00	2026-05-31T13:57:31+00:00
ERR10619225	run_2026_05_31_091242	stage_09_interpret_coding	1	success	2026-05-31T13:57:42+00:00	2026-05-31T13:57:43+00:00
ERR10619225	run_2026_05_31_091242	stage_10_interpret_noncoding	28	success	2026-05-31T13:57:44+00:00	2026-05-31T13:58:12+00:00
ERR10619225	run_2026_05_31_091242	stage_11_prioritize_variants	24	success	2026-05-31T13:59:02+00:00	2026-05-31T13:59:26+00:00
ERR10619225	run_2026_05_31_091242	stage_12_validate_variants	25	success	2026-05-31T13:59:31+00:00	2026-05-31T13:59:56+00:00
ERR10619225	run_2026_05_31_091242	stage_13_write_summary	0	success	2026-05-31T14:00:02+00:00	2026-05-31T14:00:02+00:00
