sample_id	run_id	assay_type	run_classification	assay_metadata_status	run_notes	pipeline_version	status	machine_id	config_path	git_commit	config_hash	reference_genome	reference_fasta_hash_or_size	execution_profile
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	incorrect_wgs_label_for_wes	Saudi WES run with full telemetry that exposed assay-type metadata drift.	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619281.baseline.yaml	0ea5d295c3c482a6caaa62114314cb7372d36d2b	49a151617a30ead4d1572c24a8717a7f3ea1524f92c62aee0ac9d34918a59845	GRCh38	3151425851	mark_err10619281_baseline_phase1a_extension
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	corrected_wes_label	Saudi WES rerun after assay-aware provenance patch.	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619281.baseline.yaml	e90c05dc26d73805816df01b79651286553797c0	f844d67fee06f3d8736f42d7c6c0639b2a051ab6749a15e0854a854e77bc8d74	GRCh38	3151425851	mark_err10619281_baseline_phase1a_extension
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	corrected_wes_label	First corrected ERR10619300 post-patch run.	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619300.baseline.yaml	e90c05dc26d73805816df01b79651286553797c0	f121aeff8f56295361cb533e1f15887367bc3b2aa585aadc0d22bf857c9d2fb3	GRCh38	3151425851	mark_err10619300_baseline_phase1a_extension
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	corrected_wes_label	Same-patch ERR10619300 reproducibility rerun.	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619300.baseline.yaml	0fc40ca44d2a8ba86414a8d292cae4facdf118ca	f121aeff8f56295361cb533e1f15887367bc3b2aa585aadc0d22bf857c9d2fb3	GRCh38	3151425851	mark_err10619300_baseline_phase1a_extension
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	pre_assay_metadata_contract	HG002 legacy MARK execution: stages 01-06 ran as an early continuous pipeline, while stages 07-13 were progressively checkpoint-completed during VAP development after VEP environment repair. Git/config provenance spans multiple commits/config states.	v1.0	checkpoint_completed	VandPyMolGPUResearch	config/config.mark.local.yaml	multiple_commits_checkpoint_development	multiple_configs_checkpoint_development	GRCh38	3151425851	full_pipeline_plus_checkpoint_recovery
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	pre_assay_metadata_contract	HG002 telemetry-enabled rerun before explicit WGS/WES assay-type semantic enforcement.	v1.0	completed	VandPyMolGPUResearch	config/config.mark.baseline.yaml	845f0cafea347dd25fe38cbf46e01e773cae8500	3da15337570da06a457eb31ace220910ce09957f08cd13588e3bd9ef437bb9e8	GRCh38	3151425851	mark_baseline_phase1a
