SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619203	run_2026_05_30_071639	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/tables	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	metadata		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/metadata	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	continuity_probes		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/continuity_probes	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	table	runtime_stage_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/runtime_stage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/tables/runtime_stage_summary.tsv	subset	ok	13	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	provenance_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/provenance_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/tables/provenance_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	metadata	sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/cross_run_tables/sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/metadata/sra_run_depth_metadata.tsv	subset	ok	1	subset by exact SRA
ERR10619203	run_2026_05_30_071639	q3	metadata	config_snapshot.yaml	results/run_2026_05_30_071639/metadata/config_snapshot.yaml	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/metadata/config_snapshot.yaml	copy	ok	NA	copied without modification
ERR10619203	run_2026_05_30_071639	q3	metadata	run_fingerprint.json	results/run_2026_05_30_071639/metadata/run_fingerprint.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/metadata/run_fingerprint.json	copy	ok	NA	copied without modification
ERR10619203	run_2026_05_30_071639	q3	metadata	run_metadata.json	results/run_2026_05_30_071639/metadata/run_metadata.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/metadata/run_metadata.json	copy	ok	NA	copied without modification
ERR10619203	run_2026_05_30_071639	q3	metadata	runtime_profile.tsv	results/run_2026_05_30_071639/metadata/runtime_profile.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/metadata/runtime_profile.tsv	copy	ok	13	copied without modification
ERR10619203	run_2026_05_30_071639	q3	continuity_probe	ERR10619203_tier1_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier1_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/continuity_probes/ERR10619203_tier1_unique_genes.tsv	copy	ok	2	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	continuity_probe	ERR10619203_tier2_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier2_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/continuity_probes/ERR10619203_tier2_unique_genes.tsv	copy	ok	7819	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	continuity_probe	ERR10619203_tier3_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier3_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619203/continuity_probes/ERR10619203_tier3_unique_genes.tsv	copy	ok	25624	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/tables	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	directory	metadata		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/metadata	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	directory	continuity_probes		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/continuity_probes	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	table	runtime_stage_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/runtime_stage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/tables/runtime_stage_summary.tsv	subset	ok	13	subset by exact run_id
ERR10619207	run_2026_06_01_124134	q3	table	provenance_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/provenance_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/tables/provenance_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619207	run_2026_06_01_124134	q3	metadata	sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/cross_run_tables/sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/metadata/sra_run_depth_metadata.tsv	subset	ok	1	subset by exact SRA
ERR10619207	run_2026_06_01_124134	q3	metadata	config_snapshot.yaml	results/run_2026_06_01_124134/metadata/config_snapshot.yaml	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/metadata/config_snapshot.yaml	copy	ok	NA	copied without modification
ERR10619207	run_2026_06_01_124134	q3	metadata	run_fingerprint.json	results/run_2026_06_01_124134/metadata/run_fingerprint.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/metadata/run_fingerprint.json	copy	ok	NA	copied without modification
ERR10619207	run_2026_06_01_124134	q3	metadata	run_metadata.json	results/run_2026_06_01_124134/metadata/run_metadata.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/metadata/run_metadata.json	copy	ok	NA	copied without modification
ERR10619207	run_2026_06_01_124134	q3	metadata	runtime_profile.tsv	results/run_2026_06_01_124134/metadata/runtime_profile.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/metadata/runtime_profile.tsv	copy	ok	13	copied without modification
ERR10619207	run_2026_06_01_124134	q3	continuity_probe	ERR10619207_tier1_unique_genes.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/unique_genes/ERR10619207_tier1_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/continuity_probes/ERR10619207_tier1_unique_genes.tsv	copy	ok	1	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	continuity_probe	ERR10619207_tier2_unique_genes.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/unique_genes/ERR10619207_tier2_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/continuity_probes/ERR10619207_tier2_unique_genes.tsv	copy	ok	7653	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	continuity_probe	ERR10619207_tier3_unique_genes.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/unique_genes/ERR10619207_tier3_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619207/continuity_probes/ERR10619207_tier3_unique_genes.tsv	copy	ok	25640	copied without renaming or content modification
ERR10619208	run_2026_05_30_151355	median	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/tables	mkdir	ok	NA	directory ensured
ERR10619208	run_2026_05_30_151355	median	directory	metadata		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/metadata	mkdir	ok	NA	directory ensured
ERR10619208	run_2026_05_30_151355	median	directory	continuity_probes		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/continuity_probes	mkdir	ok	NA	directory ensured
ERR10619208	run_2026_05_30_151355	median	table	runtime_stage_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/runtime_stage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/tables/runtime_stage_summary.tsv	subset	ok	13	subset by exact run_id
ERR10619208	run_2026_05_30_151355	median	table	provenance_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/provenance_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/tables/provenance_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619208	run_2026_05_30_151355	median	metadata	sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/cross_run_tables/sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/metadata/sra_run_depth_metadata.tsv	subset	ok	1	subset by exact SRA
ERR10619208	run_2026_05_30_151355	median	metadata	config_snapshot.yaml	results/run_2026_05_30_151355/metadata/config_snapshot.yaml	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/metadata/config_snapshot.yaml	copy	ok	NA	copied without modification
ERR10619208	run_2026_05_30_151355	median	metadata	run_fingerprint.json	results/run_2026_05_30_151355/metadata/run_fingerprint.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/metadata/run_fingerprint.json	copy	ok	NA	copied without modification
ERR10619208	run_2026_05_30_151355	median	metadata	run_metadata.json	results/run_2026_05_30_151355/metadata/run_metadata.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/metadata/run_metadata.json	copy	ok	NA	copied without modification
ERR10619208	run_2026_05_30_151355	median	metadata	runtime_profile.tsv	results/run_2026_05_30_151355/metadata/runtime_profile.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/metadata/runtime_profile.tsv	copy	ok	13	copied without modification
ERR10619208	run_2026_05_30_151355	median	continuity_probe	ERR10619208_tier1_unique_genes.tsv	results/run_2026_05_30_151355/logs/stage12_exploration/unique_genes/ERR10619208_tier1_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/continuity_probes/ERR10619208_tier1_unique_genes.tsv	copy	ok	1	copied without renaming or content modification
ERR10619208	run_2026_05_30_151355	median	continuity_probe	ERR10619208_tier2_unique_genes.tsv	results/run_2026_05_30_151355/logs/stage12_exploration/unique_genes/ERR10619208_tier2_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/continuity_probes/ERR10619208_tier2_unique_genes.tsv	copy	ok	9179	copied without renaming or content modification
ERR10619208	run_2026_05_30_151355	median	continuity_probe	ERR10619208_tier3_unique_genes.tsv	results/run_2026_05_30_151355/logs/stage12_exploration/unique_genes/ERR10619208_tier3_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619208/continuity_probes/ERR10619208_tier3_unique_genes.tsv	copy	ok	26478	copied without renaming or content modification
ERR10619212	run_2026_05_30_214724	q1	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/tables	mkdir	ok	NA	directory ensured
ERR10619212	run_2026_05_30_214724	q1	directory	metadata		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/metadata	mkdir	ok	NA	directory ensured
ERR10619212	run_2026_05_30_214724	q1	directory	continuity_probes		docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/continuity_probes	mkdir	ok	NA	directory ensured
ERR10619212	run_2026_05_30_214724	q1	table	runtime_stage_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/runtime_stage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/tables/runtime_stage_summary.tsv	subset	ok	13	subset by exact run_id
ERR10619212	run_2026_05_30_214724	q1	table	provenance_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/provenance_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/tables/provenance_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619212	run_2026_05_30_214724	q1	metadata	sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/cross_run_tables/sra_run_depth_metadata.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/metadata/sra_run_depth_metadata.tsv	subset	ok	1	subset by exact SRA
ERR10619212	run_2026_05_30_214724	q1	metadata	config_snapshot.yaml	results/run_2026_05_30_214724/metadata/config_snapshot.yaml	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/metadata/config_snapshot.yaml	copy	ok	NA	copied without modification
ERR10619212	run_2026_05_30_214724	q1	metadata	run_fingerprint.json	results/run_2026_05_30_214724/metadata/run_fingerprint.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/metadata/run_fingerprint.json	copy	ok	NA	copied without modification
ERR10619212	run_2026_05_30_214724	q1	metadata	run_metadata.json	results/run_2026_05_30_214724/metadata/run_metadata.json	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/metadata/run_metadata.json	copy	ok	NA	copied without modification
ERR10619212	run_2026_05_30_214724	q1	metadata	runtime_profile.tsv	results/run_2026_05_30_214724/metadata/runtime_profile.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/metadata/runtime_profile.tsv	copy	ok	13	copied without modification
ERR10619212	run_2026_05_30_214724	q1	continuity_probe	ERR10619212_tier1_unique_genes.tsv	results/run_2026_05_30_214724/logs/stage12_exploration/unique_genes/ERR10619212_tier1_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_03_inputs/ERR10619212/continuity_probes/ERR10619212_tier1_unique_genes.tsv	copy	ok	1	copied without renaming or content modification
